Grupo,Familia,Genero,Nombre_cientifico_del_taxon,Categoria_taxonomica,Endemismo_para_Colombia,Nativa_para_Colombia,Estado_de_amenaza,Distribucion,Especimen_representativo,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Angiospermas,Acanthaceae,Stenostephanus,Stenostephanus sanguineus (Nees) Wassh.,especie,0,1,Preocupación menor,Nativa,"Idrobo, J.M. 5417 (COL) 1964",BestMatch,9.42260,Exact,0,Stenostephanus sanguineus (Nees) Wassh.,Stenostephanus sanguineus (Nees) Wassh.,Stenostephanus sanguineus,wfo-0000433751-2025-06,Stenostephanus sanguineus (Nees) Wassh.,false,196,World Flora Online,Plantae|Pteridobiotina|Angiosperms|Lamiales|Acanthaceae|Stenostephanus|Stenostephanus sanguineus,
Angiospermas,Acanthaceae,Thunbergia,Thunbergia alata Sims,especie,0,0,No evaluada,No Nativa,"Novoa-Garcés, A.F. 1 (COL) 2006",BestMatch,9.42226,Exact,0,Thunbergia alata Sims,Thunbergia alata Sims,Thunbergia alata,bare-name-117241-3,,false,167,IPNI,,
Angiospermas,Acanthaceae,Thunbergia,Thunbergia grandiflora (Rottl.) Roxb.,especie,0,0,No evaluada,No Nativa,"Muñoz, J.A. 262 (JBB) 2015",BestMatch,9.42329,Exact,0,Thunbergia grandiflora (Rottl.) Roxb.,Thunbergia grandiflora (Roxb. ex Rottler) Roxb.,Thunbergia grandiflora,56NYK,Thunbergia grandiflora (Roxb. ex Rottler) Roxb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Thunbergioideae|Thunbergieae|Thunbergia|Thunbergia grandiflora,
Angiospermas,Actinidiaceae,Saurauia,Saurauia isoxanthotricha Buscal.,especie,0,1,No evaluada,Nativa,"Cortés-Sánchez, S. P., Hammen, T. van der, & Rangel-Churio, J. O. (1998)",BestMatch,9.42329,Exact,0,Saurauia isoxanthotricha Buscal.,Saurauia isoxanthotricha Buscal.,Saurauia isoxanthotricha,79Q3B,Saurauia isoxanthotricha Buscal.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauioideae|Saurauia|Saurauia isoxanthotricha,
Angiospermas,Actinidiaceae,Saurauia,Saurauia scabra (Kunth) D.Dietr.,especie,0,1,No evaluada,Nativa,"Hurtado, B. 33 (UDBC) 2011",BestMatch,9.42329,Exact,0,Saurauia scabra (Kunth) D.Dietr.,Saurauia scabra (Kunth) D.Dietr.,Saurauia scabra,79Q58,Saurauia scabra (Kunth) D.Dietr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauioideae|Saurauia|Saurauia scabra,
Angiospermas,Actinidiaceae,Saurauia,Saurauia ursina Triana & Planch.,especie,0,1,No evaluada,Nativa,"Schneider, M. 152 (S)",BestMatch,9.42329,Exact,0,Saurauia ursina Triana & Planch.,Saurauia ursina Triana & Planch.,Saurauia ursina,79Q7M,Saurauia ursina Triana & Planch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Actinidiaceae|Saurauioideae|Saurauia|Saurauia ursina,
Angiospermas,Aizoaceae,Aptenia,Aptenia cordifolia (L.fil.) Schwant.,especie,0,0,No evaluada,No Nativa,"Rodríguez, Á. 1232 (JBB) 2015",BestMatch,9.42295,Exact,0,Aptenia cordifolia (L.fil.) Schwant.,Aptenia cordifolia (L.fil.) Schwantes,Aptenia cordifolia,FYCT,Mesembryanthemum cordifolium L.fil.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Mesembryanthemoideae|Mesembryanthemum|Mesembryanthemum cordifolium,
Angiospermas,Aizoaceae,Carpobrotus,Carpobrotus acinaciformis (L.) L.Bolus,especie,0,0,No evaluada,No Nativa,"Huertas, G., & Camargo-G., L. A. (1976)",BestMatch,9.42329,Exact,0,Carpobrotus acinaciformis (L.) L.Bolus,Carpobrotus acinaciformis (L.) L.Bolus,Carpobrotus acinaciformis,5XDQS,Carpobrotus acinaciformis (L.) L.Bolus,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Carpobrotus|Carpobrotus acinaciformis,
Angiospermas,Aizoaceae,Carpobrotus,Carpobrotus edulis (L.) N.E.Br.,especie,0,0,No evaluada,No Nativa,"Rodríguez, Á. 1239 (JBB) 2015",BestMatch,9.42329,Exact,0,Carpobrotus edulis (L.) N.E.Br.,Carpobrotus edulis (L.) N.E.Br.,Carpobrotus edulis,RG7K,Carpobrotus edulis (L.) N.E.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Carpobrotus|Carpobrotus edulis,
Angiospermas,Aizoaceae,Delosperma,Delosperma cooperi (Hook.f.) L.Bolus,especie,0,0,No evaluada,No Nativa,"Rodríguez-Calderón, Á., Muñoz, J. A., Moreno, D. y Celis, M. (2019)",BestMatch,9.42329,Exact,0,Delosperma cooperi (Hook.f.) L.Bolus,Delosperma cooperi (Hook.fil.) L.Bolus,Delosperma cooperi,34H8G,Delosperma cooperi (Hook.fil.) L.Bolus,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Delosperma|Delosperma cooperi,
Angiospermas,Aizoaceae,Lampranthus,Lampranthus aureus (L.) N.E.Br.,especie,0,0,No evaluada,No Nativa,"Muñoz, José A. 1475 (JBB) 2018",BestMatch,9.42329,Exact,0,Lampranthus aureus (L.) N.E.Br.,Lampranthus aureus (L.) N.E.Br.,Lampranthus aureus,3S3MM,Lampranthus aureus (L.) N.E.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Lampranthus|Lampranthus aureus,
Angiospermas,Aizoaceae,Lampranthus,Lampranthus multiradiatus (Jacq.) N.E.Br.,especie,0,0,No evaluada,No Nativa,"Rodríguez, Á. 1048 (JBB) 2015",BestMatch,9.42329,Exact,0,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus,6NVPC,Lampranthus multiradiatus (Jacq.) N.E.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Lampranthus|Lampranthus multiradiatus,
Angiospermas,Aizoaceae,Lampranthus,Lampranthus roseus Schwantes,especie,0,0,No evaluada,No Nativa,"Ramírez, P. (2019)",BestMatch,9.42226,Exact,0,Lampranthus roseus Schwantes,Lampranthus roseus Schwantes,Lampranthus roseus,702338,,false,165,Tropicos,,
Angiospermas,Aizoaceae,Lampranthus,Lampranthus spectabilis (Haw.) N.E. Br.,especie,0,0,No evaluada,No Nativa,"Osorio-Olarte, J., Uribe-Botero, E., & Molina-Prieto, L. F. (1998)",BestMatch,9.42329,Exact,0,Lampranthus spectabilis (Haw.) N.E. Br.,Lampranthus spectabilis (Haw.) N.E.Br.,Lampranthus spectabilis,3S3TP,Lampranthus spectabilis (Haw.) N.E.Br.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Lampranthus|Lampranthus spectabilis,
Angiospermas,Aizoaceae,Malephora,Malephora crocea (Jacq.) Schwantes,especie,0,0,No evaluada,No Nativa,"Osorio-Olarte, J., Uribe-Botero, E., & Molina-Prieto, L. F. (1998)",BestMatch,9.42329,Exact,0,Malephora crocea (Jacq.) Schwantes,Malephora crocea (Jacq.) Schwantes,Malephora crocea,3XMQD,Malephora crocea (Jacq.) Schwantes,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Malephora|Malephora crocea,
Angiospermas,Aizoaceae,Oscularia,Oscularia deltoides (L.) Schwant.,especie,0,0,No evaluada,No Nativa,"Muñoz, J. (2018)",BestMatch,9.42329,Exact,0,Oscularia deltoides (L.) Schwant.,Oscularia deltoides (L.) Schwantes,Oscularia deltoides,6SYVL,Oscularia deltoides (L.) Schwantes,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Ruschioideae|Ruschieae|Oscularia|Oscularia deltoides,
Angiospermas,Alismataceae,Limnocharis,Limnocharis flava (L.) Buchenau,especie,0,1,No evaluada,Nativa,"Linden, J. 1255 (BM, BR, G, P)",BestMatch,9.42329,Exact,0,Limnocharis flava (L.) Buchenau,Limnocharis flava (L.) Buchenau,Limnocharis flava,6QBL7,Limnocharis flava (L.) Buchenau,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Limnocharis|Limnocharis flava,
Angiospermas,Alismataceae,Sagittaria,Sagittaria subulata (L.) Buchenau,especie,0,1,No evaluada,Nativa,"García-Barriga, H. 12623 (US)",BestMatch,9.42329,Exact,0,Sagittaria subulata (L.) Buchenau,Sagittaria subulata (L.) Buchenau,Sagittaria subulata,4TYSL,Sagittaria subulata (L.) Buchenau,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Sagittaria|Sagittaria subulata,
Angiospermas,Alstroemeriaceae,Alstroemeria,Alstroemeria aurea Graham,especie,0,0,No evaluada,No Nativa,"Rodríguez, Á. 2638 (JBB) 2019",BestMatch,9.42329,Exact,0,Alstroemeria aurea Graham,Alstroemeria aurea Graham,Alstroemeria aurea,C8WY,Alstroemeria aurea Graham,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Alstroemeria|Alstroemeria aurea,
Angiospermas,Alstroemeriaceae,Alstroemeria,Alstroemeria ligtu L.,especie,0,0,No evaluada,No Nativa,"Hoyos-R., M.A. 24 (COL) 2003",BestMatch,9.42329,Exact,0,Alstroemeria ligtu L.,Alstroemeria ligtu L.,Alstroemeria ligtu,C92K,Alstroemeria ligtu L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Alstroemeria|Alstroemeria ligtu,
Angiospermas,Alstroemeriaceae,Alstroemeria,Alstroemeria 'Mirella',cultivariedad,0,0,No evaluada,No Nativa,"Muñoz, José A. 1455 (JBB) 2018",BestMatch,9.41215,Exact,0,Alstroemeria 'Mirella',Alstroemeria L.,Alstroemeria,8VTMQ,Alstroemeria L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Alstroemeria,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea andreana Baker,especie,0,1,No evaluada,Nativa,"Cortés-S., S.P. 477 (COL) 1998",BestMatch,9.42329,Exact,0,Bomarea andreana Baker,Bomarea andreana Baker,Bomarea andreana,5WNYV,Bomarea andreana Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea andreana,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea hirsuta (Kunth) Herb.,especie,0,1,Preocupación menor,Nativa,"Garzón, M.R. 22 (COL) 1986",BestMatch,9.42329,Exact,0,Bomarea hirsuta (Kunth) Herb.,Bomarea hirsuta (Kunth) Herb.,Bomarea hirsuta,68NKB,Bomarea hirsuta (Kunth) Herb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea hirsuta,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea hispida Baker,especie,0,1,No evaluada,Si,"Jara, Adolfo 3329 (HJBB)",BestMatch,9.42295,Exact,0,Bomarea hispida Baker,Bomarea hispida Baker,Bomarea hispida,5WNKD,Bomarea pauciflora (Kunth) Herb.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea pauciflora,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea lancifolia Baker,especie,0,1,No evaluada,Nativa,"Uribe-Uribe, L. 122 (COL) 1938",BestMatch,9.42329,Exact,0,Bomarea lancifolia Baker,Bomarea lancifolia Baker,Bomarea lancifolia,68NKL,Bomarea lancifolia Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea lancifolia,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea linifolia (Kunth) Baker,especie,0,1,No evaluada,Nativa,"Vidal, A.M. 11 (HPUJ) 2002",BestMatch,9.42329,Exact,0,Bomarea linifolia (Kunth) Baker,Bomarea linifolia (Kunth) Baker,Bomarea linifolia,68NLS,Bomarea linifolia (Kunth) Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea linifolia,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea multiflora (L.f.) Mirb.,especie,0,1,No evaluada,Nativa,"Uribe-Uribe, L. 143 (COL) 1940",BestMatch,9.42329,Exact,0,Bomarea multiflora (L.f.) Mirb.,Bomarea multiflora (L.f.) Mirb.,Bomarea multiflora,5WNM5,Bomarea multiflora (L.f.) Mirb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea multiflora,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea patinii Baker,especie,0,1,No evaluada,Nativa,"Saravia-T., C. 1274 (COL) 1962",BestMatch,9.42329,Exact,0,Bomarea patinii Baker,Bomarea patinii Baker,Bomarea patinii,5WNLF,Bomarea patinii Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea patinii,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea pauciflora (Kunth) Herb.,especie,0,1,No evaluada,Nativa,"Pedraza, P. 329 (COL) 1998",BestMatch,9.42329,Exact,0,Bomarea pauciflora (Kunth) Herb.,Bomarea pauciflora (Kunth) Herb.,Bomarea pauciflora,68NLF,Bomarea pauciflora (Kunth) Herb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea pauciflora,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea setacea (Ruiz & Pav.) Herb.,especie,0,1,No evaluada,Nativa,"Martínez, G. 121 (COL) 2003",BestMatch,9.42329,Exact,0,Bomarea setacea (Ruiz & Pav.) Herb.,Bomarea setacea (Ruiz & Pav.) Herb.,Bomarea setacea,68NN7,Bomarea setacea (Ruiz & Pav.) Herb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea setacea,
Angiospermas,Alstroemeriaceae,Bomarea,Bomarea vestita Baker,especie,0,1,No evaluada,Si,"Jara, Adolfo 3329 (HJBB)",BestMatch,9.42295,Exact,0,Bomarea vestita Baker,Bomarea vestita Baker,Bomarea vestita,MF2V,Bomarea multiflora (L.f.) Mirb.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Alstroemeriaceae|Bomarea|Bomarea multiflora,
Angiospermas,Altingiaceae,Liquidambar,Liquidambar styraciflua L.,especie,0,0,No evaluada,No Nativa,"Ávila, M. 26 (HPUJ) 2002",BestMatch,9.42329,Exact,0,Liquidambar styraciflua L.,Liquidambar styraciflua L.,Liquidambar styraciflua,6QJRL,Liquidambar styraciflua L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Altingiaceae|Liquidambar|Liquidambar styraciflua,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera bettzickiana (Regel) G.Nicholson,especie,0,0,No evaluada,No Nativa,"Muñoz, José A. 938 (JBB) 2018",BestMatch,9.42329,Exact,0,Alternanthera bettzickiana (Regel) G.Nicholson,Alternanthera bettzickiana (Regel) G.Nicholson,Alternanthera bettzickiana,65Y9G,Alternanthera bettzickiana (Regel) G.Nicholson,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera bettzickiana,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera brasiliana (L.) Kuntze,especie,0,0,No evaluada,No Nativa,"Huertas, G., & Camargo-G., L. A. (1976)",BestMatch,9.42329,Exact,0,Alternanthera brasiliana (L.) Kuntze,Alternanthera brasiliana (L.) Kuntze,Alternanthera brasiliana,65XXH,Alternanthera brasiliana (L.) Kuntze,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera brasiliana,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera caracasana Kunth,especie,0,1,No evaluada,Nativa,"Triana, J.J. 1956/2 (COL) 1855",BestMatch,9.42329,Exact,0,Alternanthera caracasana Kunth,Alternanthera caracasana Kunth,Alternanthera caracasana,669XM,Alternanthera caracasana Kunth,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera caracasana,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera elongata (Willd.) Schinz,especie,0,1,No evaluada,Nativa,"Duque-Jaramillo, J.M. 2855 (COL) 1946",BestMatch,9.42260,Exact,0,Alternanthera elongata (Willd.) Schinz,Alternanthera elongata (Willd.) Schinz,Alternanthera elongata,wfo-0000528545-2025-06,Alternanthera elongata (Willd.) Schinz,false,196,World Flora Online,Plantae|Pteridobiotina|Angiosperms|Caryophyllales|Amaranthaceae|Alternanthera|Alternanthera elongata,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera ficoidea (L.) P.Beauv.,especie,0,1,No evaluada,Nativa,"Huertas, G., & Camargo-G., L. A. (1976)",BestMatch,9.42295,Exact,0,Alternanthera ficoidea (L.) P.Beauv.,Alternanthera ficoidea (L.) P.Beauv.,Alternanthera ficoidea,9XG2T,Alternanthera ficoidea (L.) R.Br.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera ficoidea,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera halimifolia (Lam.) Standl. ex Pittier,especie,0,0,No evaluada,No Nativa,"Fernández-Alonso, J.L. 6381 (COL) 1986",BestMatch,9.42329,Exact,0,Alternanthera halimifolia (Lam.) Standl. ex Pittier,Alternanthera halimifolia (Lam.) Standl. ex Pittier,Alternanthera halimifolia,C9G5,Alternanthera halimifolia (Lam.) Standl. ex Pittier,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera halimifolia,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera lanceolata (Benth.) Schinz,especie,0,1,No evaluada,Nativa,"Zapata-Vásquez, J.V. 1 (COL) 2005",BestMatch,9.42329,Exact,0,Alternanthera lanceolata (Benth.) Schinz,Alternanthera lanceolata (Benth.) Schinz,Alternanthera lanceolata,C9GJ,Alternanthera lanceolata (Benth.) Schinz,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera lanceolata,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera polygonoides (L.) R.Br.,especie,0,0,No evaluada,No Nativa,"Arias, H. 464 (UDBC) 1998",BestMatch,9.42295,Exact,0,Alternanthera polygonoides (L.) R.Br.,Alternanthera polygonoides (L.) R.Br.,Alternanthera polygonoides,C9JL,Alternanthera sessilis (L.) R.Br. ex DC.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera sessilis,
Angiospermas,Amaranthaceae,Alternanthera,Alternanthera porrigens (Jacq.) Kuntze,especie,0,1,No evaluada,Nativa,"Silva, H. 391 (HPUJ) 1949",BestMatch,9.42329,Exact,0,Alternanthera porrigens (Jacq.) Kuntze,Alternanthera porrigens (Jacq.) Kuntze,Alternanthera porrigens,C9JM,Alternanthera porrigens (Jacq.) Kuntze,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Gomphrenoideae|Gomphreneae|Froelichiinae|Alternanthera|Alternanthera porrigens,
